"","Chamber.No","Ind","Mass","Volume","Date.Time","Phase","Temp","Slope.with.BR","Slope","SE","R2","MR.abs.with.BR","BR","MR.abs","MR.mass","DO.unit","Trial","Temperature","Event"
"1","CH1","1",19.38,317,(2021-Nov-01 10:07:33),"M66",21.0038333333333,-0.00252074407691407,-0.0019346975499747,1.6305487554254e-05,0.987522016873228,2.7008058678162,23.2489498758169,2.07289686536449,106.960622567827,"mg O2","SMR",21,1
"2","CH2","2",13.78,317,(2021-Nov-01 03:07:33),"M31",21.0317222222222,-0.00241944970537057,-0.00168829076228206,1.62450000139164e-05,0.983789177461672,2.64105194278487,30.2200513391752,1.842924689781,133.739092146662,"mg O2","SMR",21,1
"3","CH3","3",15.84,317,(2021-Nov-01 03:31:33),"M33",21.008,-0.00282289869873509,-0.00199623265830624,1.08090888611421e-05,0.994809152559184,3.06051901959981,29.2842970525038,2.16426753855183,136.633051676252,"mg O2","SMR",21,1
"4","CH4","4",16.23,317,(2021-Nov-01 04:31:33),"M38",21.0224444444444,-0.00267188050382712,-0.00187870310571051,2.70012427461894e-05,0.964563066138226,2.8930373968899,29.6861104746447,2.03420711917638,125.336236548144,"mg O2","SMR",21,1
"5","CH5","5",15.06,317,(2021-Nov-01 10:43:33),"M69",21.0042222222222,-0.00261642546521712,-0.00188323502475568,1.21854291338899e-05,0.992610768409608,2.84401261788357,28.0225999252991,2.04704634014903,135.926051802724,"mg O2","SMR",21,1
"6","CH6","6",15.98,317,(2021-Nov-01 11:19:33),"M72",20.9881111111111,-0.00247606512878328,-0.00178569645906111,1.50465198900455e-05,0.987535760757984,2.68324245023883,27.8816846009786,1.93510925318367,121.095697946412,"mg O2","SMR",21,1
"7","CH7","7",11.55,317,(2021-Nov-01 04:07:33),"M36",21.0042777777778,-0.0021217941638468,-0.00135699960954535,1.05818907002924e-05,0.989292638713128,2.33316729844922,36.0447100540085,1.49218391064825,129.193412177338,"mg O2","SMR",21,1
"8","CH8","8",13.24,317,(2021-Nov-01 08:07:33),"M56",21.0083888888889,-0.00215309493500243,-0.00138211146869242,1.38720280160215e-05,0.982384540087722,2.35448682284282,35.8081501087707,1.51138864702804,114.153221074625,"mg O2","SMR",21,1
"9","CH1","1",14.55,317,(2021-Nov-03 09:34:21),"M69",22.9803333333333,-0.00244055745396558,-0.00208656850833612,2.25495988279166e-05,0.986399912287333,2.6573277670268,14.5044299225273,2.27189752324654,156.144159673302,"mg O2","SMR",23,2
"10","CH2","2",10.82,317,(2021-Nov-03 09:23:21),"M68",22.9914166666667,-0.0025865781021592,-0.00215219241533079,3.07025338004032e-05,0.976485539724833,2.85105053994877,16.7938360904625,2.37224978541353,219.246745417147,"mg O2","SMR",23,2
"11","CH3","3",12.97,317,(2021-Nov-03 08:28:21),"M63",22.9990833333333,-0.00224581575918702,-0.00191374145134944,1.88883017137319e-05,0.988609939580123,2.45806331495626,14.7863557586657,2.09460532843358,161.496170272442,"mg O2","SMR",23,2
"12","CH4","4",7.73,317,(2021-Nov-03 03:20:21),"M35",23.0095833333333,-0.00190737628668206,-0.00160799193410107,3.5554716444453e-05,0.945746411633985,2.12361935105578,15.6961347727447,1.79029319565398,231.603259463645,"mg O2","SMR",23,2
"13","CH5","5",11.53,317,(2021-Nov-03 09:01:21),"M66",22.9875833333333,-0.00197271039849926,-0.00160768202009876,1.6083214070116e-05,0.98832150010419,2.16937384354645,18.5039009617529,1.76795505604644,153.335217350082,"mg O2","SMR",23,2
"14","CH6","6",15.58,317,(2021-Nov-03 10:07:21),"M72",22.9936666666667,-0.00257429296393986,-0.00219365359786448,2.00619081921545e-05,0.990215982465275,2.79339618668671,14.7861712480786,2.38035984288592,152.783045114629,"mg O2","SMR",23,2
"15","CH7","7",12.78,317,(2021-Nov-03 08:50:21),"M65",23.0026666666667,-0.00240794378169303,-0.00204618973619312,1.8681376968913e-05,0.990247186580437,2.63716076615995,15.0233592765011,2.24097062956081,175.349814519625,"mg O2","SMR",23,2
"16","CH8","8",8.83,317,(2021-Nov-03 12:08:21),"M83",22.9994166666667,-0.00171415121571654,-0.00127619298043378,1.84660012551841e-05,0.975886757228354,1.90169992853052,25.5495682800472,1.415823806809,160.342446977237,"mg O2","SMR",23,2
"17","CH1","1",17.61,317,(2021-Nov-05 04:03:00),"M40",25.0359166666667,-0.00326816245155559,-0.00276829436872819,1.83612922636698e-05,0.994832597137176,3.52243856293642,15.2950806527221,2.98367874379271,169.43093377585,"mg O2","SMR",25,3
"18","CH2","2",18.05,317,(2021-Nov-05 02:46:00),"M33",25.0298333333333,-0.0036255922039086,-0.00302413985551504,2.55660164122014e-05,0.991636000166457,3.90193484169052,16.589078819873,3.25463979530239,180.312454033373,"mg O2","SMR",25,3
"19","CH3","3",13.32,317,(2021-Nov-05 10:17:00),"M74",25.0494166666667,-0.00290015769801208,-0.00224805556225472,1.41216171507768e-05,0.995363563171508,3.17059160303631,22.4850578368322,2.45768224732385,184.510679228517,"mg O2","SMR",25,3
"20","CH4","4",21.4,317,(2021-Nov-05 10:28:00),"M75",25.0325,-0.003679855222052,-0.00302497109410523,3.43085206403188e-05,0.985004708258958,3.91595473309886,17.796464491926,3.21905323950302,150.423048574908,"mg O2","SMR",25,3
"21","CH5","5",12.42,317,(2021-Nov-05 12:29:00),"M86",25.0350833333333,-0.00224826147080638,-0.0016978662956456,1.75617787863588e-05,0.987529472140913,2.46519172360155,24.4809236962714,1.86169001877986,149.894526471808,"mg O2","SMR",25,3
"22","CH6","6",15.72,317,(2021-Nov-05 09:44:00),"M71",25.0158333333333,-0.00246373801508303,-0.00190149193736153,2.11288793845649e-05,0.985638392063836,2.67218996106317,22.8208549074385,2.06237336719781,131.194234554568,"mg O2","SMR",25,3
"23","CH7","7",12.03,317,(2021-Nov-05 10:50:00),"M77",25.0326666666667,-0.00231915106538342,-0.00178410897079618,1.86208321371701e-05,0.987303643434024,2.54617740147594,23.070601246012,1.95875896616536,162.82285670535,"mg O2","SMR",25,3
"24","CH8","8",12.36,317,(2021-Nov-05 11:34:00),"M81",25.0201666666667,-0.0027118590763404,-0.00217751289016744,2.1631073554875e-05,0.988391996569867,2.97410669645882,19.704054345407,2.38808709669819,193.210930153575,"mg O2","SMR",25,3
