"","Chamber.No","Ind","Mass","Volume","Date.Time","Phase","Temp","Slope.with.BR","Slope","SE","R2","MR.abs.with.BR","BR","MR.abs","MR.mass","DO.unit","Temperature","Event"
"1","CH1","1",4.15,78,(2021-Aug-04 03:31:16),"M40",20.9936666666667,-0.00316818237009923,-0.00311054563543491,3.68798502049752e-05,0.975536427416009,0.84229296491458,1.81923664522237,0.826969662636724,199.269798225717,"mg O2",21,1
"2","CH2","2",2.84,78,(2021-Aug-04 08:21:16),"M69",20.9911111111111,-0.00289801232337473,-0.00259778717680254,4.25301111885429e-05,0.95452270725809,0.784132582409442,10.3596918532971,0.702898863150523,247.499599700888,"mg O2",21,1
"3","CH3","3",3.13,78,(2021-Aug-04 02:31:16),"M34",21.0033888888889,-0.00296897952878692,-0.00292914153698864,2.62230011940845e-05,0.985934596891047,0.800234990352997,1.34180756088128,0.789497376747623,252.235583625439,"mg O2",21,1
"4","CH4","4",2.9,78,(2021-Aug-04 05:31:16),"M52",20.9605555555556,-0.00284906113365624,-0.00269908132495742,2.33648491602278e-05,0.986848176107169,0.770272168095302,5.26418359111678,0.729723627015489,251.628836901893,"mg O2",21,1
"5","CH5","5",2.54,78,(2021-Aug-04 05:01:16),"M49",20.9908333333333,-0.0028723610268621,-0.00260313862315096,2.87584135840931e-05,0.978737156779175,0.78029410711325,9.37286090409215,0.707158225810698,278.408750319172,"mg O2",21,1
"6","CH6","6",2.71,78,(2021-Aug-03 21:19:22),"M3",20.9602222222222,-0.00265799259570714,-0.00236561089252145,2.45748723676703e-05,0.981073282110697,0.720432945110847,11.0000947202755,0.641184638752584,236.59949769468,"mg O2",21,1
"7","CH7","7",2.51,78,(2021-Aug-04 05:01:16),"M49",20.9908333333333,-0.00231720017592748,-0.00191502738362642,2.97998423655512e-05,0.958678968089368,0.629731588610757,17.35597970685,0.52043550188385,207.344821467669,"mg O2",21,1
"8","CH8","8",2.56,78,(2021-Aug-04 11:31:16),"M88",20.9762777777778,-0.0014508463206977,-0.00182436845085229,2.49342915336561e-05,0.967820178244192,0.394026647160365,-25.7451202671115,0.495469281356268,193.542688029792,"mg O2",21,1
"9","CH1","1",3.55,78,(2021-Aug-07 02:34:12),"M18",20.9521666666667,-0.00322521043450571,-0.00318127942498911,2.17490480557773e-05,0.991749566253637,0.864420900656221,1.36211296622999,0.852646511485581,240.182115911431,"mg O2",21,4
"10","CH2","2",2.61,78,(2021-Aug-07 12:50:12),"M74",21.0127222222222,-0.00250423339303444,-0.00210842989253874,2.97165017833097e-05,0.965893370414992,0.679658959803119,15.8053758725776,0.572236306554585,219.247627032408,"mg O2",21,4
"11","CH3","3",2.99,78,(2021-Aug-07 12:50:12),"M74",21.0127222222222,-0.00249191298849155,-0.00231350146746913,3.2979053980957e-05,0.965091955076831,0.672906215760306,7.15962081526854,0.624728682269495,208.93935861856,"mg O2",21,4
"12","CH4","4",2.65,78,(2021-Aug-07 08:04:12),"M48",21.0112777777778,-0.00266577996747311,-0.00251336117818996,2.32592204419767e-05,0.984984836983331,0.723119473976756,5.71760577177808,0.68177435319581,257.273340828607,"mg O2",21,4
"13","CH5","5",2.35,78,(2021-Aug-07 13:56:12),"M80",20.9226666666667,-0.00279921482925049,-0.00260954665189029,3.98087410130911e-05,0.960141110349647,0.762338166598079,6.77576352405179,0.710683935175801,302.41869581949,"mg O2",21,4
"14","CH6","6",2.44,78,(2021-Aug-07 11:00:12),"M64",20.9157222222222,-0.0023432602516493,-0.00251445597922895,3.63415664064067e-05,0.964150425057967,0.637404280612636,-7.30587767445625,0.683972257645943,280.316499035223,"mg O2",21,4
"15","CH7","7",2.22,78,(2021-Aug-07 02:45:12),"M19",20.9246111111111,-0.00244805900951842,-0.00206258595507786,1.94843857402776e-05,0.984361369258616,0.667850082268701,15.7460687402462,0.56268994923288,253.463941095892,"mg O2",21,4
"16","CH8","8",2.46,78,(2021-Aug-07 10:27:12),"M61",20.9412777777778,-0.00226869126564664,-0.00192219623672332,2.54882129604389e-05,0.969652734937035,0.61695697754501,15.2729035532545,0.522729733399486,212.491761544507,"mg O2",21,4
"17","CH1","1",3.65,78,(2021-Aug-05 04:47:08),"M54",23.0473888888889,-0.00461323578649238,-0.00452951659367813,2.43609542379312e-05,0.994874188197247,1.23477869061255,1.81476075988538,1.21237041146389,332.156277113394,"mg O2",23,2
"18","CH2","2",2.67,78,(2021-Aug-05 07:43:08),"M70",23.0052222222222,-0.00310931855217395,-0.00274784033861229,3.59173254193499e-05,0.970526846414481,0.843209879526948,11.6256410366485,0.745181325747589,279.094129493479,"mg O2",23,2
"19","CH3","3",3.06,78,(2021-Aug-05 07:32:08),"M69",23.0086666666667,-0.00307455095823402,-0.00293423302724264,3.93295234569177e-05,0.968809508345665,0.829464655716207,4.56385120616043,0.791609123021628,258.695791837133,"mg O2",23,2
"20","CH4","4",2.75,78,(2021-Aug-05 05:31:08),"M58",23.0335,-0.0034930750087374,-0.0033182463498771,1.9403709880757e-05,0.993919915402698,0.946274019866962,5.00500729079659,0.898912936181707,326.877431338802,"mg O2",23,2
"21","CH5","5",2.44,78,(2021-Aug-05 08:27:08),"M74",22.9877777777778,-0.00251544967893467,-0.00231188030654467,3.33557622237227e-05,0.964270262661111,0.684242559865092,8.09276266167284,0.628868433465056,257.732964534859,"mg O2",23,2
"22","CH6","6",2.55,78,(2021-Aug-05 10:17:08),"M84",23.0372777777778,-0.00306083952257123,-0.00320487052435452,2.57410747471328e-05,0.988639969061795,0.831385231120798,-4.70560448273013,0.870506931825174,341.375267382421,"mg O2",23,2
"23","CH7","7",2.53,78,(2021-Aug-05 09:55:08),"M82",23.0466666666667,-0.00158344179695362,-0.00201439184485917,2.75370967868364e-05,0.967736102947632,0.430208468697922,-27.2160333732921,0.547294149113478,216.321798068568,"mg O2",23,2
"24","CH8","8",2.52,78,(2021-Aug-05 03:41:08),"M48",22.9964444444444,-0.00162242721852534,-0.00195979150362927,2.51265694125759e-05,0.971312812789377,0.440858903235455,-20.7938008714228,0.532530225698174,211.321518134196,"mg O2",23,2
"25","CH1","1",3.6,78,(2021-Aug-06 04:14:39),"M61",24.954,-0.00455602861108744,-0.00447150927551908,2.6877998276937e-05,0.993574145814691,1.22028670319366,1.85510985077405,1.19764904435503,332.680290098619,"mg O2",25,3
"26","CH2","2",2.69,78,(2021-Aug-06 02:02:39),"M49",25.0307777777778,-0.00328164102925264,-0.00306000024610512,3.11065264775588e-05,0.981944496369969,0.889705389286858,6.7539618493249,0.829615026723036,308.40707313124,"mg O2",25,3
"27","CH3","3",3.03,78,(2021-Aug-06 07:54:39),"M81",24.9747777777778,-0.0042551315018172,-0.00403038140604035,2.49191444328053e-05,0.993233586750526,1.14842595128845,5.28186016532914,1.08776769843904,358.999240408924,"mg O2",25,3
"28","CH4","4",2.73,78,(2021-Aug-06 07:43:39),"M80",24.9577222222222,-0.00354405914324809,-0.0032712801398753,1.93811204572436e-05,0.993784519576592,0.960340794164222,7.69679602814957,0.88642532206229,324.697920169337,"mg O2",25,3
"29","CH5","5",2.37,78,(2021-Aug-06 04:14:39),"M61",24.9236111111111,-0.0039092178793073,-0.0036794594960829,2.35354978437862e-05,0.992769752571082,1.06435493356324,5.8773491352473,1.0017990780795,422.700032944937,"mg O2",25,3
"30","CH6","6",2.43,78,(2021-Aug-06 05:42:39),"M69",24.8992222222222,-0.00355196663832189,-0.00338990232142049,2.463419401933e-05,0.990678994492176,0.966319627888747,4.56266438859271,0.922229706347086,379.518397673698,"mg O2",25,3
"31","CH7","7",2.22,78,(2021-Aug-06 07:54:39),"M81",24.9448333333333,-0.00353429637590133,-0.00310497545140929,2.48837457882219e-05,0.988706862188511,0.96418432571689,12.1472813491072,0.847062142948067,381.559523850481,"mg O2",25,3
"32","CH8","8",2.51,78,(2021-Aug-05 23:50:39),"M37",24.9586111111111,-0.00233579803224307,-0.00202228628067963,2.61920790357493e-05,0.971006748387851,0.634785816434506,13.4220402293246,0.54958460878262,218.958011467179,"mg O2",25,3
